
,Cboe data is compiled for the convenience of site visitors and is furnished without responsibility for accuracy and is accepted by the site visitor on the condition that transmission or omissions shall not be made the basis for any claim demand or cause for action.Your use of Cboe data is subject to the Terms and Conditions for use of Cboe Websites.\n
,To access our full collection of comprehensive historical market data visit CBOE Data Shop at https://datashop.cboe.com.\n
Date,Open,High,Low,Close
3/16/2026,141.49,141.49,141.49,141.49
3/17/2026,145.04,145.04,145.04,145.04
3/18/2026,136.54,136.54,136.54,136.54
3/19/2026,138.26,138.26,138.26,138.26
3/20/2026,139.12,139.12,139.12,139.12
3/23/2026,142.02,142.02,142.02,142.02
3/24/2026,142.63,142.63,142.63,142.63
3/25/2026,140.88,140.88,140.88,140.88
3/26/2026,143.99,143.99,143.99,143.99
3/27/2026,139,139,139,139
3/30/2026,142.23,142.23,142.23,142.23
3/31/2026,145.45,145.45,145.45,145.45
4/1/2026,143.77,143.77,143.77,143.77
4/2/2026,146.95,146.95,146.95,146.95
4/6/2026,147.6,147.6,147.6,147.6
4/7/2026,148.45,148.45,148.45,148.45
4/8/2026,150.36,150.36,150.36,150.36
4/9/2026,143.27,143.27,143.27,143.27
4/10/2026,144.18,144.18,144.18,144.18
4/13/2026,156.93,156.93,156.93,156.93
4/14/2026,149.94,149.94,149.94,149.94
4/15/2026,139.23,139.23,139.23,139.23
4/16/2026,140.74,140.74,140.74,140.74
4/17/2026,141.82,141.82,141.82,141.82
4/20/2026,141.9,141.9,141.9,141.9
4/21/2026,140.91,140.91,140.91,140.91
4/22/2026,140.84,140.84,140.84,140.84
4/23/2026,139.59,139.59,139.59,139.59
4/24/2026,139.08,139.08,139.08,139.08
4/27/2026,139.64,139.64,139.64,139.64
4/28/2026,138.16,138.16,138.16,138.16
4/29/2026,141.88,141.88,141.88,141.88
4/30/2026,143.33,143.33,143.33,143.33
5/1/2026,141.38,141.38,141.38,141.38
5/4/2026,141.74,141.74,141.74,141.74
5/5/2026,138.74,138.74,138.74,138.74
5/6/2026,135.42,135.42,135.42,135.42
5/7/2026,136.11,136.11,136.11,136.11
5/8/2026,138.21,138.21,138.21,138.21
5/11/2026,140.21,140.21,140.21,140.21
5/12/2026,139.41,139.41,139.41,139.41
5/13/2026,141.51,141.51,141.51,141.51
5/14/2026,139.32,139.32,139.32,139.32
5/15/2026,145.77,145.77,145.77,145.77
5/18/2026,138.4,138.4,138.4,138.4
5/19/2026,135.5,135.5,135.5,135.5
5/20/2026,132.31,132.31,132.31,132.31
5/21/2026,136.96,136.96,136.96,136.96
5/22/2026,137.39,137.39,137.39,137.39
5/26/2026,139.04,139.04,139.04,139.04
5/27/2026,138.57,138.57,138.57,138.57
5/28/2026,139.52,139.52,139.52,139.52
5/29/2026,144.18,144.18,144.18,144.18
6/1/2026,142.46,142.46,142.46,142.46
6/2/2026,143.24,143.24,143.24,143.24
6/3/2026,136.86,136.86,136.86,136.86
6/4/2026,142.15,142.15,142.15,142.15
6/5/2026,152.25,152.25,152.25,152.25
6/8/2026,145,145,145,145
6/9/2026,141.97,141.97,141.97,141.97
6/10/2026,143.08,143.08,143.08,143.08
6/11/2026,142.98,142.98,142.98,142.98
6/12/2026,142.6,142.6,142.6,142.6
