date;price;dix;gex
02/05/2011;1361219971;3,78842E+16;1,89731E+13
03/05/2011;1356619995;3,83411E+16;1,85973E+13
04/05/2011;1347319946;3,92122E+16;1,71776E+13
05/05/2011;1335099976;4,05457E+15;1,36186E+13
06/05/2011;1340199951;4,18649E+16;1,49033E+13
09/05/2011;1346290039;4,10321E+15;1,67706E+13
10/05/2011;1357160034;3,92851E+15;2,03495E+13
11/05/2011;1342079956;4,00814E+16;1,53677E+13
12/05/2011;1348650024;3,87534E+15;1,67492E+13
13/05/2011;133777002;4,05595E+15;1,21815E+13
16/05/2011;1329469971;3,89703E+14;7,79596E+12
17/05/2011;132897998;3,94747E+15;8,41851E+12
18/05/2011;1340680054;4,0233E+15;1,36616E+13
19/05/2011;1343599976;3,94634E+15;1,54369E+13
20/05/2011;133327002;4,13202E+16;1,28808E+13
23/05/2011;1317369995;4,05847E+15;5,39697E+12
24/05/2011;1316280029;3,8938E+16;5,10244E+12
25/05/2011;1320469971;3,97291E+14;7,40695E+12
26/05/2011;1325689941;3,97656E+15;7,94681E+12
27/05/2011;1331099976;4,00935E+14;9,18665E+12
31/05/2011;1345199951;4,02477E+15;1,50102E+13
01/06/2011;1314550049;4,41582E+16;7,65473E+12
02/06/2011;1312939941;4,1307E+15;7,37054E+12
03/06/2011;1300160034;4,3611E+15;4,05957E+12
06/06/2011;1286170044;4,00147E+15;2,41197E+11
07/06/2011;1284939941;4,06774E+15;-1,72403E+12
08/06/2011;1279560059;4,04581E+15;-2,85917E+12
09/06/2011;12890;4,14451E+15;-1,10999E+12
10/06/2011;127097998;4,36126E+16;-4,59228E+12
13/06/2011;1271829956;4,08851E+16;-4,49818E+12
14/06/2011;1287869995;4,2697E+16;9,78446E+11
15/06/2011;1265420044;4,3026E+16;-6,18829E+12
16/06/2011;1267640015;3,87975E+16;-6,43027E+12
17/06/2011;12715;4,08968E+15;-4,44256E+12
20/06/2011;1278359985;3,71378E+16;1,30642E+12
21/06/2011;129552002;4,23486E+15;5,94237E+12
22/06/2011;1287140015;4,4721E+16;4,21966E+12
23/06/2011;12835;4,46167E+16;6,73524E+12
24/06/2011;1268449951;4,47478E+15;1,97913E+12
27/06/2011;1280099976;4,22969E+16;5,33995E+12
28/06/2011;1296670044;4,34609E+15;1,0003E+13
29/06/2011;1307410034;4,19141E+15;1,26324E+13
30/06/2011;1320640015;4,11933E+15;1,73112E+13
01/07/2011;1339670044;4,14437E+16;2,0199E+13
05/07/2011;1337880005;4,18297E+16;2,20469E+13
06/07/2011;1339219971;4,29513E+15;2,23678E+13
07/07/2011;1353219971;4,16198E+15;2,7293E+13
08/07/2011;1343800049;4,39627E+15;2,49017E+13
11/07/2011;131948999;4,27681E+15;1,73734E+13
12/07/2011;1313640015;4,28388E+16;1,53384E+13
13/07/2011;1317719971;4,2802E+15;1,95765E+13
14/07/2011;1308869995;4,33803E+16;1,65021E+13
15/07/2011;1316140015;4,26378E+16;4,17634E+13
18/07/2011;1305439941;4,16248E+16;8,87183E+12
19/07/2011;132672998;4,10345E+16;1,30459E+13
20/07/2011;1325839966;4,39685E+15;1,54911E+13
21/07/2011;1343800049;4,22326E+16;1,76311E+13
22/07/2011;134502002;4,45173E+16;1,63585E+13
25/07/2011;1337430054;4,44489E+16;1,59483E+13
26/07/2011;1331939941;4,2153E+16;1,54106E+13
27/07/2011;1304890015;4,18012E+16;8,39162E+12
28/07/2011;1300670044;4,0852E+16;7,27984E+12
29/07/2011;1292280029;4,03608E+15;6,3486E+12
01/08/2011;1286939941;4,4031E+15;6,45134E+12
02/08/2011;1254050049;4,41316E+15;5,43694E+11
03/08/2011;1260339966;4,31169E+14;2,2493E+12
04/08/2011;1200069946;4,29702E+15;-6,6036E+12
05/08/2011;1199380005;4,21319E+16;-4,63212E+12
08/08/2011;1119459961;4,22791E+15;-8,02755E+12
09/08/2011;1172530029;4,19587E+15;-3,74593E+12
10/08/2011;112076001;4,64857E+16;-7,59559E+12
11/08/2011;1172640015;4,27854E+16;-2,64887E+12
12/08/2011;1178810059;4,5699E+15;-3,09019E+12
15/08/2011;120448999;4,64636E+16;-2,30471E+11
16/08/2011;119276001;4,69079E+15;-2,25224E+12
17/08/2011;1193890015;4,82254E+16;-2,51706E+12
18/08/2011;1140650024;4,62808E+14;-8,36497E+12
19/08/2011;1123530029;4,58593E+16;-1,18704E+13
22/08/2011;1123819946;4,48567E+15;-3,61898E+12
23/08/2011;1162349976;4,61559E+16;5,4581E+11
24/08/2011;1177599976;4,79698E+16;2,05416E+12
25/08/2011;115927002;4,88769E+15;27999836600
26/08/2011;1176800049;4,79699E+16;1,37694E+12
29/08/2011;1210079956;4,81064E+15;5,61222E+12
30/08/2011;1212920044;4,78343E+16;6,35378E+12
31/08/2011;1218890015;4,60571E+14;6,05715E+12
01/09/2011;1204420044;4,87541E+16;3,20553E+12
02/09/2011;1173969971;4,9409E+15;-1,53993E+11
06/09/2011;116523999;5,03255E+14;-9748257100
07/09/2011;1198619995;4,63618E+16;4,24298E+12
08/09/2011;1185900024;4,73642E+16;2,9411E+12
09/09/2011;115422998;5,00488E+15;-1,64918E+12
12/09/2011;116227002;4,69095E+15;-5,54015E+11
13/09/2011;1172869995;4,83554E+15;1,80811E+12
14/09/2011;1188680054;4,67059E+16;5,16499E+12
15/09/2011;1209109985;4,45066E+15;9,24225E+12
16/09/2011;121601001;4,74804E+15;1,62787E+13
19/09/2011;1204089966;4,71532E+16;8,19792E+12
20/09/2011;1202089966;4,60588E+15;8,64559E+12
21/09/2011;116676001;4,487E+16;4,80323E+12
22/09/2011;1129560059;4,81429E+15;4,26889E+11
23/09/2011;1136430054;4,57091E+16;2,46153E+12
26/09/2011;1162949951;4,56608E+14;4,15708E+12
27/09/2011;1175380005;4,49152E+15;5,0671E+12
28/09/2011;1151060059;4,83849E+15;3,03391E+12
29/09/2011;1160400024;4,51187E+16;2,53516E+12
30/09/2011;1131420044;4,75507E+15;1,16402E+11
03/10/2011;109922998;4,80298E+15;-2,20425E+12
04/10/2011;1123949951;4,62602E+15;-8,53661E+11
05/10/2011;1144030029;4,8463E+16;1,68194E+12
06/10/2011;1164969971;4,81192E+15;4,01723E+12
07/10/2011;1155459961;4,77111E+15;2,19499E+12
10/10/2011;1194890015;4,47478E+15;9,31951E+12
11/10/2011;1195540039;4,75651E+16;1,1288E+13
12/10/2011;120725;4,71813E+15;1,32649E+13
13/10/2011;1203660034;4,96293E+14;1,37802E+13
14/10/2011;1224579956;4,56943E+16;1,78337E+13
17/10/2011;1200859985;4,91525E+16;1,32984E+13
18/10/2011;1225380005;4,60549E+15;1,78473E+13
19/10/2011;1209880005;4,71041E+15;1,07055E+13
20/10/2011;1215390015;4,80243E+15;1,01283E+13
21/10/2011;123825;4,48862E+16;2,34747E+13
24/10/2011;1254189941;4,2841E+16;1,15888E+13
25/10/2011;1229050049;4,46383E+16;7,99721E+12
26/10/2011;12420;4,23915E+13;1,00933E+13
27/10/2011;1284589966;3,97064E+16;1,6881E+13
28/10/2011;1285089966;4,32942E+14;1,58169E+13
31/10/2011;1253300049;4,45037E+15;1,17166E+13
01/11/2011;1218280029;4,54848E+15;5,62856E+12
02/11/2011;1237900024;4,50534E+15;8,51142E+12
03/11/2011;1261150024;4,43652E+16;1,43868E+13
