DATE;OPEN;HIGH;LOW;CLOSE
01/02/1990;17240000;17240000;17240000;17240000
01/03/1990;18190000;18190000;18190000;18190000
01/04/1990;19220000;19220000;19220000;19220000
01/05/1990;20110000;20110000;20110000;20110000
01/08/1990;20260000;20260000;20260000;20260000
01/09/1990;22200000;22200000;22200000;22200000
01/10/1990;22440000;22440000;22440000;22440000
01/11/1990;20050000;20050000;20050000;20050000
01/12/1990;24640000;24640000;24640000;24640000
01/15/1990;26340000;26340000;26340000;26340000
01/16/1990;24180000;24180000;24180000;24180000
01/17/1990;24160000;24160000;24160000;24160000
01/18/1990;24340000;24340000;24340000;24340000
01/19/1990;22500000;22500000;22500000;22500000
01/22/1990;26700000;26700000;26700000;26700000
01/23/1990;24720000;24720000;24720000;24720000
01/24/1990;25390000;25390000;25390000;25390000
01/25/1990;25630000;25630000;25630000;25630000
01/26/1990;26280000;26280000;26280000;26280000
01/29/1990;26440000;26440000;26440000;26440000
01/30/1990;27250000;27250000;27250000;27250000
01/31/1990;25360000;25360000;25360000;25360000
02/01/1990;24870000;24870000;24870000;24870000
02/02/1990;24320000;24320000;24320000;24320000
02/05/1990;24540000;24540000;24540000;24540000
02/06/1990;24690000;24690000;24690000;24690000
02/07/1990;24290000;24290000;24290000;24290000
02/08/1990;23770000;23770000;23770000;23770000
02/09/1990;23690000;23690000;23690000;23690000
02/12/1990;24380000;24380000;24380000;24380000
02/13/1990;23760000;23760000;23760000;23760000
02/14/1990;22050000;22050000;22050000;22050000
02/15/1990;19710000;19710000;19710000;19710000
02/16/1990;20780000;20780000;20780000;20780000
02/20/1990;22780000;22780000;22780000;22780000
02/21/1990;23890000;23890000;23890000;23890000
02/22/1990;22540000;22540000;22540000;22540000
02/23/1990;23690000;23690000;23690000;23690000
02/26/1990;23560000;23560000;23560000;23560000
02/27/1990;22690000;22690000;22690000;22690000
02/28/1990;21990000;21990000;21990000;21990000
03/01/1990;21900000;21900000;21900000;21900000
03/02/1990;21340000;21340000;21340000;21340000
